id,name,price,salePriceU,cashback,sale,brand,rating,supplier,supplierRating,feedbacks,reviewRating,promoTextCard,promoTextCat,link
218105644,Футболка однотонная,5990,1374,,77,HUGO,4,WIDESTOCK,4.5,344,4.4,ЧЁРНАЯ ПЯТНИЦА,ЧЁРНАЯ ПЯТНИЦА,https://www.wildberries.ru/catalog/218105644/detail.aspx?targetUrl=BP
66154950,Футболка Король и Шут,1400,518,,63,DREAMS FAMILY BRAND,5,DREAMS FAMILY BRAND,4.8,2782,4.9,ЧЁРНАЯ ПЯТНИЦА,ЧЁРНАЯ ПЯТНИЦА,https://www.wildberries.ru/catalog/66154950/detail.aspx?targetUrl=BP
220272068,Футболка Ласковый май Юрий Шатунов,1400,507,,63,CONSTELL SEVEN,5,CONSTELL SEVEN,4.7,31,4.8,ЧЁРНАЯ ПЯТНИЦА,ЧЁРНАЯ ПЯТНИЦА,https://www.wildberries.ru/catalog/220272068/detail.aspx?targetUrl=BP
147213286,Футболка с принтом happy wife happy life,3000,948,,68,MIZOTIC basic,4,MIZOTIC Clothes,4.6,88,4.4,ЧЁРНАЯ ПЯТНИЦА,ЧЁРНАЯ ПЯТНИЦА,https://www.wildberries.ru/catalog/147213286/detail.aspx?targetUrl=BP
34895954,Футболка мужская с принтом горчичная с надписью хлопок,1920,497,,74,Макс-Экстрим,5,Макс Экстрим,4.8,53953,4.8,ЧЁРНАЯ ПЯТНИЦА,ЧЁРНАЯ ПЯТНИЦА,https://www.wildberries.ru/catalog/34895954/detail.aspx?targetUrl=BP
245205688,Футболка с принтом хлопок,2000,465,,76,МУЛЬТИСЕЙЛ,5,МУЛЬТИСЕЙЛ,4.8,4759,4.9,ЧЁРНАЯ ПЯТНИЦА,ЧЁРНАЯ ПЯТНИЦА,https://www.wildberries.ru/catalog/245205688/detail.aspx?targetUrl=BP
212129373,Футболка однотонная оверсайз хлопок,3000,474,,84,Wakas Textile,5,Wakas Textile,4.7,4238,4.8,ЧЁРНАЯ ПЯТНИЦА,ЧЁРНАЯ ПЯТНИЦА,https://www.wildberries.ru/catalog/212129373/detail.aspx?targetUrl=BP
219682093,Футболка с лого в японском стиле,1940,401,,79,Макс-Экстрим,5,Макс Экстрим,4.8,1161,4.8,ЧЁРНАЯ ПЯТНИЦА,ЧЁРНАЯ ПЯТНИЦА,https://www.wildberries.ru/catalog/219682093/detail.aspx?targetUrl=BP
111223474,Военная тактическая милитари футболка из хлопка,1050,576,,45,ЛИМЕС,5,ЛИМЕС,4.7,5534,4.7,ЧЁРНАЯ ПЯТНИЦА,ЧЁРНАЯ ПЯТНИЦА,https://www.wildberries.ru/catalog/111223474/detail.aspx?targetUrl=BP
13496399,Футболка мужская с принтом VAGODROCH,3715,1374,,63,EXHAUST WEAR,5,EXHAUST WEAR,4.9,1080,4.9,ЧЁРНАЯ ПЯТНИЦА,ЧЁРНАЯ ПЯТНИЦА,https://www.wildberries.ru/catalog/13496399/detail.aspx?targetUrl=BP
263817482,Футболка светящаяся с принтом Череп,2390,778,,67,АРТимперия,5,АРТимперия Футболок,4.9,4735,4.9,ЧЁРНАЯ ПЯТНИЦА,ЧЁРНАЯ ПЯТНИЦА,https://www.wildberries.ru/catalog/263817482/detail.aspx?targetUrl=BP
244990201,Винтажная футболка с черепашками ниндзя,2544,941,,63,Tishka,5,TIШKA,4.8,456,4.8,ЧЁРНАЯ ПЯТНИЦА,ЧЁРНАЯ ПЯТНИЦА,https://www.wildberries.ru/catalog/244990201/detail.aspx?targetUrl=BP
158558583,Футболка вафельная с вышивкой Турция,4990,1550,,68,Cracow,5,JE LA PECHE,4.7,772,4.7,ЧЁРНАЯ ПЯТНИЦА,ЧЁРНАЯ ПЯТНИЦА,https://www.wildberries.ru/catalog/158558583/detail.aspx?targetUrl=BP
274007515,Футболка с принтом Змея,1690,1063,,37,Evofox,5,Brand Seven,4.8,318,4.9,ЧЁРНАЯ ПЯТНИЦА,ЧЁРНАЯ ПЯТНИЦА,https://www.wildberries.ru/catalog/274007515/detail.aspx?targetUrl=BP
270944872,Футболка хлопок,2500,943,,62,Keotica,5,Keotica,4.8,4533,4.9,ЧЁРНАЯ ПЯТНИЦА,ЧЁРНАЯ ПЯТНИЦА,https://www.wildberries.ru/catalog/270944872/detail.aspx?targetUrl=BP
111760755,Военная тактическая милитари футболка из хлопка,1050,556,,47,ЛИМЕС,5,ЛИМЕС,4.7,5534,4.7,ЧЁРНАЯ ПЯТНИЦА,ЧЁРНАЯ ПЯТНИЦА,https://www.wildberries.ru/catalog/111760755/detail.aspx?targetUrl=BP
227142996,Футболка хлопок MSS 001,1607,654,,59,TEKSA,4,Conte ЦЕНТР,4.8,101,4.4,ЧЁРНАЯ ПЯТНИЦА,ЧЁРНАЯ ПЯТНИЦА,https://www.wildberries.ru/catalog/227142996/detail.aspx?targetUrl=BP
241981811,Футболка однотонная хлопок больших размеров,8499,1949,,77,BigFit,5,BigFit,4.8,650,4.8,ЧЁРНАЯ ПЯТНИЦА,ЧЁРНАЯ ПЯТНИЦА,https://www.wildberries.ru/catalog/241981811/detail.aspx?targetUrl=BP
35639921,Военная тактическая милитари футболка из хлопка,1350,740,,45,ЛИМЕС,5,ЛИМЕС,4.7,5534,4.7,ЧЁРНАЯ ПЯТНИЦА,ЧЁРНАЯ ПЯТНИЦА,https://www.wildberries.ru/catalog/35639921/detail.aspx?targetUrl=BP
